FOODID,FOODNAME_FI,FOODNAME_EN,FOODNAME_SV,FUCLASS,IGCLASS,FUCLASS_subsitute,kgCO2-eq/kg,gCO2-eq/100g,Data quality,Average_source
1,SOKERI,SUGAR,SOCKER,"Sokerit, siirapit","Sokerit, siirapit",,0.51,51.0,Product,-
2,"FRUKTOOSI, HEDELMÄSOKERI",FRUCTOSE,"FRUKTSOCKER, FRUKTOS","Sokerit, siirapit","Sokerit, siirapit",,1.26,126.0,Product,-
3,SIIRAPPI,SYRUP,SIRAP,"Sokerit, siirapit","Sokerit, siirapit",,0.82,82.0,Category average,IGCLASS
4,HUNAJA,HONEY,HONUNG,"Sokerit, siirapit","Sokerit, siirapit",,0.98,98.0,Product,-
5,"MAKEINEN, KARAMELLI","SWEET, CANDY","SÖTSAK, KARAMELL",Makeiset,Makeiset,,1.37,137.0,Category average,IGCLASS
6,"SUKLAA, KESKIARVO, MAITO-, TUMMA-, VALKO-","CHOCOLATE, AVERAGE","CHOKLAD, MEDELVÄRDE",Suklaa,Suklaa,,2.8,280.0,Category average,IGCLASS
7,"SUKLAAKONVEHTI, MARMELADITÄYTE",CHOCOLATE CONFECTION FILLED WITH MARMALADE,CHOKLADKONFEKT MED MARMELADFYLLNING,Suklaa,Suklaa,,2.8,280.0,Category average,IGCLASS
8,LAKRITSI,"LIQUORICE, LICORICE",LAKRITS,Makeiset,Makeiset,,1.37,137.0,Category average,IGCLASS
9,"MAKEINEN, MARMELADIMAKEINEN","JELLY CANDY, FRUIT JELLY","SÖTSAK, MARMELAD",Makeiset,Makeiset,,1.06,106.0,Product,-
10,"MARSIPAANI, MANTELIMASSA","MARZIPAN, ALMOND PASTE","MARSIPAN, MANDELMASSA",Makeiset,Makeiset,,1.96,196.0,Product,-
11,"MAKEINEN, TOFFEE",TOFFEE,"SÖTSAK, TOFFEE",Makeiset,Makeiset,,1.37,137.0,Category average,IGCLASS
12,"MAKEINEN, SALMIAKKIPASTILLI",SALTY LIQOURICE PASTILLE,"SÖTSAK, SALMIAKPASTILL",Makeiset,Makeiset,,1.37,137.0,Category average,IGCLASS
14,"SUKLAAPATUKKA SUKLAINEN, KESKIARVO","CHOCOLATE BAR, AVERAGE","CHOKLADSTÅNG MED CHOKLAD, MEDELVÄRDE",Suklaa,Suklaa,,2.8,280.0,Category average,IGCLASS
20,"KAAKAOJAUHE, EI LISÄTTYÄ SOKERIA","COCOA POWDER, UNSWEETENED","KAKAOPULVER, UTAN TILLSATT SOCKER",Sekalaiset ruoka-aineet,Valmistuksen apuaineet,,2.29,229.0,Product,-
21,"KAAKAOJAUHE, SOKEROITU",COCOA POWDER WITH SUGAR,"KAKAOPULVER, SOCKRAT",Sekalaiset ruoka-aineet,Valmistuksen apuaineet,,2.66,266.0,Product,-
24,SORBITOLI,SORBITOL,SORBITOL,Sekalaiset ruoka-aineet,Makeutusaineet,,0.62,62.0,Category average,IGCLASS
25,LIIVATE,GELATIN,GELATIN,Sekalaiset ruoka-aineet,Valmistuksen apuaineet,,1.73,173.0,Product,-
26,"HIIVA, TUORE","BAKING YEAST, FRESH","JÄST, FÄRSK",Sekalaiset ruoka-aineet,Valmistuksen apuaineet,,5.07,507.0,Product,-
27,"JAUHO, MAISSITÄRKKELYS","FLOUR, CORNSTARCH, CORNFLOUR","MJÖL, MAJSSTÄRKELSE",Sekalaiset ruoka-aineet,Tärkkelykset,,0.97,97.0,Product,-
28,SINAPPI,MUSTARD,SENAP,Maustekastikkeet,Maustekastikkeet,,1.77,177.0,Product,-
30,"RUOKASUOLA, JODIOITU","SALT, IODISED","KOKSALT, JODERAT",Mausteet,Suolat,,0.42,42.0,Product,-
